net,length_um
net572,34.5µm
net789,34.4µm
clknet_1_0__leaf_net742,34.34µm
net599,34.25µm
clknet_1_1__leaf_net588,34.23µm
net858,34.12µm
clknet_0_net151,34.04µm
net796,33.96µm
clknet_0_net275,33.94µm
net271,33.92µm
net633,33.8µm
net902,33.74µm
net255,33.72µm
net293,33.62µm
net152,33.6µm
net1053,33.5µm
net972,33.44µm
net427,33.245µm
net643,33.2µm
net616,33.08µm
net332,33µm
net975,33µm
clknet_0_net297,32.98µm
clknet_0_net765,32.86µm
net54,32.82µm
net430,32.785µm
net563,32.78µm
net1050,32.65µm
clknet_1_0__leaf_net942,32.64µm
net134,32.58µm
clknet_0_net605,32.58µm
net106,32.57µm
clknet_0_net843,32.46µm
net604,32.28µm
net804,32.21µm
clknet_1_0__leaf_net576,32.18µm
net669,32.16µm
net940,32.06µm
net383,31.96µm
net307,31.95µm
clknet_0_net544,31.92µm
clknet_0_net251,31.84µm
net118,31.82µm
net665,31.67µm
net107,31.6µm
clknet_1_1__leaf_net841,31.51µm
net512,31.5µm
clknet_0_net147,31.46µm
clknet_0_net781,31.28µm
net133,31.2µm
net414,31.04µm
clknet_1_1__leaf_net383,30.88µm
net130,30.845µm
clknet_0_net145,30.74µm
clknet_0_net545,30.66µm
clknet_1_1__leaf_net120,30.62µm
clknet_1_0__leaf_net782,30.61µm
clknet_1_0__leaf_net187,30.57µm
clknet_1_1__leaf_net187,30.56µm
net169,30.28µm
net603,30.28µm
clknet_1_0__leaf_net383,30.26µm
clknet_1_0__leaf_net801,30.12µm
net584,30.08µm
net55,30.065µm
net653,29.87µm
clknet_0_net619,29.68µm
net816,29.62µm
net803,29.52µm
clknet_0_net187,29.44µm
net156,29.32µm
clknet_1_0__leaf_net544,29.29µm
net731,29.28µm
clknet_1_0__leaf_net159,29.2µm
clknet_0_net519,29.16µm
clknet_0_net249,29.16µm
net90,29.125µm
net15,29.12µm
clknet_1_0__leaf_net245,29.1µm
net144,29.06µm
net324,29.06µm
clknet_0_net935,29.06µm
net286,29.03µm
net297,28.58µm
net587,28.5µm
clknet_0_net296,28.5µm
clknet_1_0__leaf_net471,28.4µm
clknet_1_0__leaf_net802,28.38µm
clknet_1_1__leaf_net159,28.08µm
clknet_0_net152,28.04µm
clknet_1_0__leaf_net500,28µm
net621,27.92µm
clknet_0_net621,27.92µm
net256,27.78µm
net772,27.62µm
net1061,27.41µm
clknet_1_0__leaf_net156,27.34µm
net677,27.24µm
net582,27.19µm
net448,27.15µm
clknet_0_net623,27.14µm
net585,27.1µm
clknet_0_net490,27.1µm
net344,27.06µm
net454,26.96µm
net969,26.96µm
clknet_1_1__leaf_net251,26.86µm
clknet_1_1__leaf_net843,26.82µm
net82,26.72µm
net304,26.67µm
net770,26.39µm
clknet_0_net293,26.38µm
net163,26.33µm
clknet_1_1__leaf_net619,26.24µm
net375,26.1µm
clknet_1_1__leaf_net545,26.02µm
clknet_0_net521,26.02µm
net337,25.98µm
net385,25.94µm
net520,25.84µm
clknet_0_net561,25.82µm
clknet_1_1__leaf_net510,25.8µm
clknet_0_net181,25.78µm
clknet_0_net500,25.72µm
net783,25.7µm
net517,25.68µm
net795,25.62µm
clknet_0_net571,25.6µm
clknet_0_net159,25.56µm
clknet_0_net577,25.4µm
net145,25.34µm
clknet_0_net242,25.3µm
clknet_1_1__leaf_net943,25.18µm
net670,25.07µm
clknet_0_net383,25.02µm
net249,25µm
net311,24.99µm
clknet_0_net821,24.84µm
net168,24.64µm
net842,24.58µm
clknet_0_net563,24.56µm
net825,24.55µm
clknet_1_0__leaf_net822,24.42µm
clknet_0_net606,24.42µm
clknet_0_net593,24.32µm
clknet_0_net120,24.32µm
clknet_1_1__leaf_net593,24.305µm
net651,24.23µm
net817,24.1µm
net705,24.09µm
clknet_1_0__leaf_net519,24.06µm
net59,24.045µm
clknet_0_net971,23.98µm
net609,23.92µm
clknet_0_net125,23.9µm
clknet_0_net802,23.88µm
net595,23.8µm
clknet_0_net636,23.8µm
net214,23.78µm
clknet_0_net476,23.78µm
clknet_1_1__leaf_net471,23.74µm
net27,23.72µm
clknet_1_0__leaf_net932,23.72µm
net841,23.7µm
net709,23.6µm
clknet_0_net547,23.6µm
clknet_0_net801,23.6µm
net225,23.58µm
clknet_1_0__leaf_net842,23.52µm
net122,23.42µm
clknet_0_net587,23.22µm
clknet_1_0__leaf_net510,23.1µm
clknet_1_1__leaf_net181,23.02µm
clknet_1_0__leaf_net545,23µm
clknet_1_1__leaf_net803,22.99µm
net627,22.92µm
clknet_0_net385,22.88µm
net946,22.86µm
clknet_0_net574,22.8µm
net562,22.715µm
net500,22.7µm
clknet_1_1__leaf_net552,22.66µm
clknet_0_net598,22.64µm
net935,22.58µm
net0,22.55µm
clknet_1_1__leaf_net544,22.3µm
clknet_1_1__leaf_net932,22.28µm
clknet_1_1__leaf_net613,22.2µm
net581,22.14µm
clknet_0_net822,22.12µm
net195,22.04µm
clknet_1_1__leaf_net605,22.04µm
net576,21.9µm
clknet_0_net743,21.84µm
clknet_1_1__leaf_net140,21.82µm
net1060,21.71µm
net443,21.7µm
net719,21.7µm
net281,21.64µm
clknet_1_1__leaf_net122,21.62µm
net639,21.58µm
net942,21.56µm
clknet_0_net842,21.5µm
net201,21.4µm
net32,21.38µm
clknet_1_1__leaf_net547,21.32µm
clknet_0_net471,21.2µm
net556,21.16µm
clknet_1_1__leaf_net822,21.14µm
