net,length_um
net760,2.62µm
net449,2.57µm
net284,2.5µm
net366,2.5µm
net471,2.5µm
net579,2.4µm
net402,2.38µm
net439,2.38µm
net394,2.3µm
net385,2.18µm
net655,2.16µm
net703,2.16µm
clknet_1_0__leaf_net719,2.16µm
net920,2.16µm
net267,2.085µm
net569,2.04µm
net677,2.04µm
net697,2.04µm
net756,2.04µm
net943,1.94µm
net948,1.93µm
net764,1.84µm
net441,1.72µm
net390,1.7µm
net593,1.7µm
net716,1.7µm
net495,1.585µm
net946,1.36µm
net628,1.26µm
net747,1.26µm
net342,1.14µm
