net,length_um
net591,32.22µm
net772,32.12µm
net2,31.92µm
clknet_0_net438,31.88µm
net514,31.84µm
clknet_1_1__leaf_net721,31.8µm
clknet_0_net429,31.72µm
net438,31.48µm
net646,31.34µm
net213,31.3µm
clknet_1_1__leaf_net454,31.17µm
net300,31.16µm
clknet_0_net341,31.08µm
net468,30.82µm
net189,30.66µm
net666,30.66µm
clknet_0_net232,30.62µm
net387,30.58µm
net5,30.54µm
net609,30.18µm
clknet_0_net739,30.08µm
net363,30.06µm
net25,30.02µm
net725,30.01µm
net677,29.95µm
net693,29.94µm
net392,29.74µm
net547,29.74µm
clknet_1_1__leaf_net596,29.72µm
clknet_0_net702,29.7µm
net453,29.62µm
net159,29.54µm
net538,29.46µm
net1001,29.46µm
net726,29.26µm
net199,29.2µm
clknet_1_1__leaf_net368,29.2µm
net272,29.04µm
net577,28.98µm
clknet_1_1__leaf_net429,28.98µm
clknet_0_net228,28.84µm
net970,28.715µm
net673,28.68µm
net470,28.44µm
net600,27.9µm
net717,27.78µm
net1031,27.66µm
net888,27.54µm
net432,27.435µm
clknet_0_net586,27.4µm
net500,27.36µm
net644,27.36µm
net52,27.3µm
clknet_0_net827,27.28µm
net702,27.22µm
clknet_0_net740,27.2µm
net958,27.06µm
net864,26.98µm
net504,26.97µm
net308,26.92µm
net14,26.9µm
net906,26.86µm
net739,26.76µm
clknet_1_1__leaf_net451,26.7µm
clknet_1_1__leaf_net547,26.665µm
clknet_0_net703,26.66µm
clknet_1_1__leaf_net434,26.58µm
clknet_1_0__leaf_net429,26.56µm
net653,26.42µm
net452,26.3µm
clknet_1_1__leaf_net438,26.3µm
clknet_0_net492,26.2µm
clknet_0_net451,26.1µm
net375,25.98µm
net973,25.92µm
net464,25.88µm
clknet_0_net868,25.84µm
net697,25.75µm
net423,25.6µm
net215,25.47µm
clknet_1_1__leaf_net336,25.39µm
net571,25.34µm
clknet_1_0__leaf_net472,25.34µm
clknet_1_0__leaf_net492,25.3µm
clknet_0_net545,25.16µm
clknet_0_net673,25.1µm
net982,25.06µm
net446,24.8µm
net488,24.68µm
net582,24.66µm
clknet_1_0__leaf_net228,24.54µm
net1026,24.5µm
net412,24.49µm
net655,24.38µm
clknet_0_net758,24.18µm
clknet_0_net757,24.14µm
net648,24.04µm
clknet_0_net440,23.98µm
net152,23.96µm
net499,23.9µm
net151,23.78µm
net576,23.78µm
net868,23.72µm
net143,23.69µm
net721,23.58µm
net708,23.56µm
net627,23.48µm
clknet_0_net336,23.42µm
net1004,23.38µm
net683,23.36µm
net354,23.2µm
net661,23.16µm
clknet_0_net471,22.96µm
net588,22.86µm
net119,22.84µm
net280,22.74µm
net204,22.68µm
net8,22.66µm
net521,22.6µm
clknet_0_net170,22.58µm
clknet_0_net465,22.5µm
net757,22.34µm
clknet_0_net461,22.34µm
clknet_0_net233,22.34µm
net614,22.245µm
clknet_1_0__leaf_net438,22.14µm
net367,22µm
net431,22µm
net48,21.955µm
clknet_0_net721,21.92µm
clknet_0_net453,21.9µm
clknet_0_net688,21.76µm
net790,21.72µm
net960,21.58µm
clknet_1_0__leaf_net457,21.46µm
net313,21.44µm
clknet_0_net547,21.28µm
net1022,21.26µm
net234,21.24µm
net275,21.24µm
net442,21.22µm
net622,21.205µm
net439,21.165µm
net457,21.08µm
net165,20.92µm
net196,20.74µm
clknet_0_net859,20.74µm
net285,20.7µm
net237,20.66µm
net471,20.58µm
clknet_0_net339,20.5µm
net35,20.45µm
net475,20.4µm
net41,20.385µm
net405,20.32µm
net515,20.32µm
net474,20.27µm
clknet_0_net487,20.2µm
net963,20.06µm
net831,19.94µm
clknet_0_net574,19.92µm
clknet_1_0__leaf_net703,19.92µm
clknet_0_net687,19.92µm
net384,19.88µm
net170,19.78µm
net574,19.74µm
clknet_0_net741,19.72µm
net105,19.605µm
net984,19.6µm
