net,length_um
net343,50.1µm
net272,50.06µm
net1051,49.68µm
clknet_1_0__leaf_net510,49.66µm
net696,49.56µm
net1024,49.345µm
clknet_1_0__leaf_net332,49.3µm
clknet_1_1__leaf_net833,49.1µm
net982,48.92µm
clknet_1_0__leaf_net465,48.92µm
net775,48.76µm
clknet_0_net153,48.54µm
net965,48.46µm
net224,48.24µm
net911,48.13µm
clknet_1_1__leaf_net945,48.12µm
net428,48.04µm
clknet_1_1__leaf_net510,48.02µm
net341,47.96µm
net386,47.86µm
net549,47.8µm
clknet_0_net959,47.44µm
net816,47.32µm
net1136,47.32µm
net750,47.24µm
net364,47.175µm
net316,47.12µm
clknet_0_net330,47.1µm
clknet_1_1__leaf_net330,47.035µm
clknet_1_1__leaf_net246,46.985µm
net41,46.85µm
net596,46.8µm
net206,46.75µm
net93,46.74µm
clknet_1_1__leaf_net797,46.69µm
clknet_0_net798,46.6µm
net174,46.43µm
net680,46.1µm
clknet_0_net743,46.02µm
net532,46µm
net426,45.95µm
net99,45.69µm
clknet_1_0__leaf_net246,45.16µm
net347,45.115µm
net609,45.08µm
net196,44.72µm
net798,44.68µm
net817,44.68µm
net452,44.54µm
clknet_1_0__leaf_net177,44.51µm
net855,44.49µm
net123,44.42µm
net986,44.42µm
net973,44.35µm
net193,44.24µm
net623,44.24µm
net820,44.06µm
clknet_1_0__leaf_net833,43.84µm
net205,43.65µm
net479,43.51µm
net101,43.42µm
net957,43.36µm
net690,43.34µm
clknet_0_net778,43.34µm
net863,43.3µm
clknet_1_0__leaf_net48,43.29µm
clknet_1_0__leaf_net282,43.12µm
clknet_1_1__leaf_net282,42.94µm
net964,42.5µm
net804,42.4µm
net829,42.32µm
net852,42.32µm
net400,41.78µm
net436,41.64µm
clknet_1_0__leaf_net490,41.38µm
net905,41.36µm
clknet_1_1__leaf_net742,41.3µm
net13,41.18µm
net755,41.09µm
net650,41.03µm
net571,40.62µm
clknet_0_net67,40.62µm
net907,40.58µm
net607,40.485µm
net421,40.36µm
net836,39.88µm
net38,39.8µm
clknet_0_net396,39.74µm
net461,39.68µm
clknet_1_1__leaf_net799,39.54µm
net299,39.52µm
net185,39.44µm
net8,39.435µm
net302,39.08µm
net26,39.06µm
net733,38.83µm
net257,38.82µm
clknet_0_net52,38.82µm
net300,38.78µm
clknet_0_net182,38.48µm
net954,38.42µm
clknet_1_1__leaf_net924,38.36µm
clknet_0_net184,38.32µm
net483,38.24µm
net686,38.22µm
net899,38.02µm
net834,37.9µm
clknet_1_0__leaf_net799,37.84µm
clknet_1_1__leaf_net188,37.74µm
net671,37.68µm
net910,37.52µm
net760,37.4µm
net794,37.34µm
clknet_1_1__leaf_net369,37.32µm
net700,37.28µm
net245,37.18µm
net189,37.1µm
net859,37.06µm
net2,37.02µm
net493,36.98µm
net723,36.9µm
clknet_0_net971,36.84µm
net102,36.64µm
net873,36.62µm
clknet_0_net386,36.62µm
net1021,36.36µm
net374,36.28µm
net331,36.26µm
net780,36.14µm
net282,36.1µm
clknet_1_0__leaf_net945,36.08µm
clknet_0_net62,35.98µm
net857,35.68µm
net480,35.64µm
net251,35.52µm
net1001,35.38µm
net856,35.26µm
net809,35.24µm
net631,35.14µm
clknet_0_net300,35.14µm
net585,35.1µm
net80,34.98µm
clknet_1_1__leaf_net461,34.92µm
clknet_1_0__leaf_net401,34.845µm
net1110,34.7µm
net286,34.595µm
clknet_1_0__leaf_net257,34.56µm
clknet_1_1__leaf_net462,34.52µm
net198,34.405µm
clknet_1_1__leaf_net251,34.24µm
net922,34.04µm
net1127,34.04µm
clknet_0_net922,33.92µm
net330,33.84µm
net91,33.805µm
net937,33.8µm
net250,33.66µm
net438,33.66µm
net442,33.64µm
net314,33.32µm
clknet_0_net483,33.3µm
clknet_0_net965,33.3µm
net415,33.29µm
clknet_1_1__leaf_net56,33.22µm
clknet_1_1__leaf_net853,33.04µm
net321,33.02µm
net1031,33µm
net535,32.9µm
net694,32.89µm
clknet_1_0__leaf_net835,32.84µm
clknet_1_1__leaf_net835,32.76µm
clknet_1_1__leaf_net973,32.72µm
clknet_0_net465,32.64µm
net924,32.58µm
net199,32.51µm
net811,32.43µm
clknet_0_net560,32.24µm
net140,32.225µm
net304,32.16µm
clknet_1_1__leaf_net922,32.13µm
clknet_0_net56,32.1µm
net468,32.09µm
clknet_0_net475,31.92µm
net871,31.9µm
clknet_1_0__leaf_net592,31.9µm
net498,31.84µm
net86,31.77µm
clknet_0_net592,31.76µm
clknet_0_net54,31.74µm
net590,31.73µm
net583,31.7µm
net881,31.62µm
net551,31.58µm
net47,31.48µm
clknet_1_1__leaf_net592,31.48µm
clknet_0_net938,31.4µm
clknet_0_net471,31.28µm
clknet_0_net401,31.28µm
clknet_0_net508,31.26µm
net168,31.17µm
net376,31.1µm
clknet_1_1__leaf_net179,31.07µm
net847,31.05µm
net968,31.04µm
net187,31.025µm
clknet_0_net510,30.96µm
net610,30.895µm
net601,30.845µm
net938,30.8µm
net155,30.74µm
net761,30.7µm
net606,30.66µm
net854,30.66µm
clknet_0_net185,30.62µm
net812,30.38µm
clknet_1_0__leaf_net462,30.325µm
clknet_1_1__leaf_net854,30.24µm
net49,30.16µm
net683,30.16µm
net172,30µm
net915,29.95µm
net904,29.88µm
net661,29.86µm
net148,29.7µm
clknet_0_net49,29.62µm
clknet_1_0__leaf_net469,29.46µm
net853,29.44µm
clknet_1_0__leaf_net742,29.37µm
net181,29.2µm
net643,29.17µm
clknet_0_net433,29.16µm
clknet_0_net973,29.16µm
clknet_1_1__leaf_net57,29.06µm
net685,29µm
net622,28.98µm
clknet_0_net302,28.86µm
net705,28.84µm
net23,28.8µm
clknet_0_net552,28.78µm
net453,28.7µm
net577,28.68µm
net387,28.64µm
net839,28.64µm
net293,28.62µm
net510,28.6µm
net521,28.54µm
clknet_1_1__leaf_net498,28.525µm
net625,28.5µm
clknet_1_0__leaf_net52,28.42µm
net1154,28.02µm
net719,28µm
net526,27.82µm
net946,27.76µm
