net,length_um
net137,15.22µm
clknet_1_1__leaf_net796,15.22µm
net148,15.14µm
net352,15.06µm
net749,15µm
net297,14.98µm
net392,14.92µm
net815,14.9µm
net833,14.86µm
net925,14.785µm
net738,14.78µm
net876,14.665µm
net293,14.63µm
net725,14.52µm
net194,14.515µm
net825,14.48µm
net546,14.46µm
net562,14.42µm
net182,14.41µm
net513,14.32µm
clknet_1_1__leaf_net901,14.3µm
clknet_1_0__leaf_net589,14.2µm
net571,14.18µm
net624,14.005µm
net842,13.96µm
net76,13.92µm
clknet_1_1__leaf_net708,13.89µm
net11,13.88µm
net662,13.8µm
clknet_1_1__leaf_net339,13.78µm
net818,13.74µm
net720,13.72µm
clknet_1_0__leaf_net246,13.66µm
net594,13.62µm
net756,13.62µm
net163,13.6µm
out55,13.48µm
net317,13.46µm
net220,13.42µm
net625,13.38µm
net796,13.38µm
clknet_1_1__leaf_net188,13.38µm
net351,13.34µm
net915,13.3µm
net828,13.24µm
net735,13.17µm
net716,13.12µm
clknet_1_1__leaf_net198,13.08µm
net937,12.985µm
net826,12.975µm
out0,12.97µm
clknet_1_1__leaf_net360,12.92µm
clknet_1_1__leaf_net361,12.9µm
net29,12.88µm
clknet_1_1__leaf_net757,12.84µm
net483,12.82µm
clknet_1_1__leaf_net598,12.82µm
net433,12.74µm
clknet_1_0__leaf_net577,12.74µm
net79,12.68µm
out10,12.63µm
net715,12.62µm
out57,12.62µm
net539,12.48µm
net934,12.48µm
net617,12.36µm
net670,12.34µm
clknet_1_0__leaf_net188,12.34µm
clknet_1_1__leaf_net581,12.34µm
net476,12.26µm
net238,12.16µm
net43,12.16µm
net61,12.145µm
clknet_1_1__leaf_net357,12.08µm
clknet_1_1__leaf_net798,12.06µm
net454,12.04µm
in12,12.03µm
clknet_1_0__leaf_net197,12µm
net160,11.97µm
net940,11.94µm
clknet_1_1__leaf_net471,11.905µm
net114,11.9µm
net68,11.88µm
clknet_1_1__leaf_net758,11.84µm
net926,11.82µm
net133,11.72µm
net514,11.7µm
net103,11.66µm
net458,11.66µm
net453,11.64µm
net475,11.62µm
net1003,11.54µm
clknet_1_1__leaf_net199,11.5µm
net415,11.46µm
clknet_1_0__leaf_net590,11.36µm
net157,11.34µm
net466,11.34µm
net136,11.32µm
net213,11.32µm
net42,11.32µm
net687,11.28µm
net413,11.2µm
net420,11.2µm
net976,11.16µm
net760,11.14µm
net788,10.96µm
net72,10.9µm
clknet_0_net232,10.88µm
net313,10.86µm
net359,10.8µm
net227,10.78µm
net243,10.78µm
net683,10.78µm
net688,10.78µm
net434,10.76µm
net869,10.7µm
net251,10.66µm
net601,10.66µm
clknet_1_0__leaf_net796,10.66µm
net469,10.62µm
net739,10.6µm
net838,10.6µm
