net,length_um
out32,5.75µm
out42,5.75µm
out44,5.75µm
net795,5.72µm
in8,5.65µm
net210,5.6µm
clknet_1_1__leaf_net374,5.5µm
net364,5.48µm
net16,5.41µm
out39,5.41µm
net477,5.4µm
net393,5.38µm
net55,5.38µm
in17,5.31µm
in27,5.31µm
in33,5.31µm
net340,5.28µm
net170,5.26µm
net317,5.24µm
clknet_1_1__leaf_net500,5.22µm
net26,5.175µm
net412,5.12µm
net349,5.11µm
net612,5.1µm
out33,5.07µm
out4,5.07µm
out49,5.07µm
out51,5.07µm
net250,4.92µm
net697,4.92µm
net169,4.88µm
net423,4.88µm
net684,4.88µm
net253,4.845µm
net832,4.82µm
net261,4.8µm
net505,4.76µm
net633,4.76µm
out11,4.73µm
out2,4.73µm
out31,4.73µm
out46,4.73µm
out50,4.73µm
out38,4.61µm
net217,4.6µm
net839,4.58µm
net260,4.46µm
net399,4.46µm
net419,4.46µm
net608,4.46µm
net646,4.46µm
out14,4.39µm
out28,4.39µm
out36,4.39µm
out41,4.39µm
out43,4.39µm
out47,4.39µm
out48,4.39µm
net197,4.36µm
net602,4.34µm
net258,4.23µm
net497,4.2µm
net644,4.14µm
net823,4.14µm
net587,4.12µm
net627,4.12µm
net521,4.1µm
net271,4.02µm
net350,4.02µm
net459,4.02µm
net813,4.015µm
net125,4µm
net146,4µm
net241,4µm
net306,4µm
net31,4µm
net341,4µm
net561,4µm
net578,4µm
net819,4µm
out37,3.93µm
net535,3.89µm
net547,3.88µm
net662,3.88µm
net623,3.76µm
net411,3.74µm
net833,3.68µm
net810,3.66µm
net843,3.66µm
net401,3.54µm
net427,3.54µm
net660,3.54µm
net840,3.42µm
net294,3.32µm
net582,3.32µm
net244,3.08µm
net493,3.08µm
net553,3.08µm
net566,3.08µm
net809,3.08µm
net611,3.06µm
net599,2.98µm
net659,2.98µm
net418,2.96µm
net51,2.96µm
net299,2.86µm
net800,2.84µm
net817,2.825µm
net661,2.77µm
net278,2.76µm
net287,2.76µm
net422,2.76µm
net562,2.76µm
net803,2.76µm
net653,2.74µm
net239,2.64µm
net301,2.62µm
net472,2.62µm
net614,2.62µm
clknet_1_1__leaf_net513,2.62µm
net811,2.5µm
net181,2.4µm
net655,2.31µm
net571,2.3µm
net402,2.27µm
clknet_1_0__leaf_net500,2.27µm
net525,2.16µm
net199,2.04µm
net37,2.04µm
net632,2.04µm
net656,2.04µm
net634,1.93µm
net400,1.84µm
net416,1.84µm
net542,1.84µm
net62,1.84µm
net804,1.84µm
net836,1.84µm
net838,1.84µm
net279,1.72µm
net237,1.7µm
net266,1.7µm
net543,1.7µm
net631,1.7µm
net529,1.38µm
net798,1.36µm
net569,1.02µm
clknet_1_0__leaf_net486,1.02µm
net168,0.92µm
net453,0.92µm
net565,0.92µm
net841,0.92µm
net802,0.46µm
net829,0.46µm
