Metric,Value
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,265
timing__unannotated_net__count__corner:max_ff_n40C_1v95,1
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,1
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79614
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79902
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.00385891
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00376739
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000955663
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00376739
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00097799999999999991974475310740899658412672579288482666015625
ir__drop__worst,0.0038600000000000001497413304463179883896373212337493896484375
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
