net,length_um
clknet_0_net545,23.76µm
net321,23.72µm
net734,23.7µm
net552,23.66µm
clknet_0_net547,23.5µm
clknet_0_net481,23.48µm
net752,23.25µm
clknet_0_net470,23.22µm
net217,23.165µm
net1074,23.085µm
clknet_0_net406,23.06µm
clknet_1_1__leaf_net482,22.85µm
net149,22.82µm
net295,22.76µm
clknet_0_net767,22.76µm
net1095,22.74µm
clknet_0_net529,22.64µm
clknet_1_1__leaf_net614,22.56µm
net730,22.53µm
net554,22.52µm
clknet_0_net988,22.5µm
net810,22.31µm
clknet_0_net304,22.3µm
net741,22.22µm
clknet_1_0__leaf_net613,22.2µm
clknet_0_net519,22.2µm
clknet_1_0__leaf_net366,22.16µm
net506,22.06µm
clknet_0_net337,22.04µm
net640,21.95µm
net883,21.91µm
net69,21.88µm
clknet_1_1__leaf_net580,21.88µm
clknet_1_1__leaf_net481,21.86µm
net403,21.81µm
net337,21.8µm
net318,21.7µm
clknet_0_net303,21.7µm
clknet_0_net628,21.66µm
clknet_1_0__leaf_net471,21.58µm
net57,21.51µm
net274,21.46µm
net165,21.36µm
net289,21.32µm
net258,21.23µm
clknet_0_net384,21µm
net616,20.88µm
net593,20.84µm
net735,20.82µm
clknet_0_net564,20.78µm
net362,20.74µm
net816,20.7µm
net808,20.68µm
net287,20.66µm
net598,20.62µm
net95,20.6µm
clknet_1_0__leaf_net107,20.5µm
clknet_0_net583,20.46µm
clknet_0_net347,20.42µm
clknet_0_net155,20.42µm
net632,20.36µm
clknet_0_net94,20.32µm
net324,20.2µm
clknet_1_1__leaf_net304,20.16µm
net1093,20.08µm
net724,20.04µm
net298,19.94µm
clknet_0_net428,19.92µm
net683,19.78µm
net895,19.78µm
net519,19.74µm
clknet_0_net107,19.74µm
net795,19.61µm
net153,19.56µm
net680,19.56µm
net284,19.54µm
clknet_1_1__leaf_net352,19.48µm
clknet_0_net498,19.46µm
net354,19.44µm
clknet_1_1__leaf_net767,19.44µm
net811,19.42µm
clknet_1_0__leaf_net458,19.41µm
clknet_0_net397,19.4µm
clknet_0_net482,19.36µm
net672,19.32µm
net894,19.32µm
net481,19.24µm
clknet_0_net848,19.24µm
net281,19.23µm
net882,19.14µm
net581,19.04µm
net439,19.02µm
net890,18.91µm
clknet_0_net984,18.86µm
net167,18.78µm
net942,18.62µm
net863,18.6µm
net984,18.6µm
net1019,18.6µm
net798,18.58µm
clknet_1_1__leaf_net107,18.56µm
net331,18.48µm
net1068,18.48µm
net173,18.46µm
clknet_0_net868,18.4µm
clknet_0_net375,18.36µm
clknet_0_net614,18.18µm
net1023,18.16µm
clknet_0_net395,18.14µm
clknet_0_net827,18.12µm
clknet_1_1__leaf_net375,18.1µm
net241,18.06µm
net582,18.04µm
net66,18.04µm
clknet_1_1__leaf_net473,18.03µm
net1077,18.02µm
clknet_0_net329,17.98µm
net359,17.96µm
clknet_0_net349,17.9µm
clknet_0_net318,17.8µm
clknet_0_net488,17.66µm
clknet_1_1__leaf_net406,17.59µm
net545,17.56µm
clknet_0_net339,17.52µm
net451,17.49µm
clknet_0_net888,17.46µm
clknet_1_1__leaf_net243,17.46µm
clknet_1_0__leaf_net164,17.44µm
net434,17.4µm
clknet_0_net591,17.36µm
net1072,17.36µm
net136,17.34µm
clknet_0_net532,17.34µm
clknet_1_1__leaf_net564,17.32µm
net248,17.26µm
net971,17.26µm
net294,17.22µm
net617,17.21µm
net219,17.18µm
net283,17.18µm
clknet_1_0__leaf_net827,17.18µm
net363,17.14µm
net373,17.1µm
clknet_1_0__leaf_net245,16.98µm
clknet_0_net284,16.98µm
clknet_0_net1003,16.98µm
net1087,16.94µm
net657,16.86µm
clknet_1_1__leaf_net94,16.8µm
clknet_1_0__leaf_net968,16.79µm
clknet_0_net333,16.66µm
net586,16.62µm
clknet_1_0__leaf_net284,16.6µm
clknet_0_net982,16.6µm
clknet_1_0__leaf_net339,16.54µm
net307,16.48µm
net988,16.44µm
clknet_1_1__leaf_net249,16.38µm
net301,16.34µm
net41,16.22µm
net272,16.18µm
net821,16.02µm
clknet_1_1__leaf_net333,15.98µm
net347,15.96µm
net505,15.96µm
clknet_0_net309,15.94µm
in45,15.92µm
net985,15.78µm
net458,15.76µm
net428,15.72µm
net736,15.72µm
net722,15.68µm
net591,15.64µm
net534,15.56µm
net352,15.52µm
net631,15.35µm
