net,length_um
clknet_1_0__leaf_net863,19.9µm
net541,19.84µm
net268,19.83µm
net585,19.81µm
net33,19.7µm
net540,19.62µm
net303,19.585µm
net887,19.49µm
clknet_1_1__leaf_net191,19.48µm
net783,19.38µm
net346,19.32µm
net197,19.3µm
net581,19.26µm
net87,19.24µm
net787,19.1µm
clknet_0_net65,19.08µm
net70,19.04µm
net454,19µm
net266,18.98µm
net405,18.94µm
net775,18.94µm
net43,18.9µm
clknet_1_0__leaf_net195,18.9µm
net677,18.82µm
clknet_0_net791,18.82µm
clknet_1_0__leaf_net346,18.74µm
net150,18.56µm
net54,18.48µm
clknet_1_0__leaf_net721,18.41µm
net131,18.38µm
net25,18.33µm
net196,18.22µm
net629,18.185µm
clknet_1_0__leaf_net206,18.14µm
net900,18.12µm
clknet_1_0__leaf_net757,18.08µm
clknet_1_1__leaf_net190,18.08µm
net38,18.06µm
net481,18.02µm
net314,17.98µm
net229,17.96µm
clknet_0_net342,17.94µm
clknet_1_1__leaf_net60,17.92µm
net897,17.86µm
net956,17.86µm
net574,17.82µm
clknet_1_0__leaf_net793,17.79µm
clknet_1_0__leaf_net204,17.75µm
net62,17.72µm
net207,17.64µm
net874,17.56µm
clknet_1_1__leaf_net869,17.52µm
clknet_0_net722,17.52µm
clknet_1_1__leaf_net198,17.44µm
net527,17.4µm
net799,17.395µm
net425,17.305µm
net241,17.18µm
net508,17.14µm
clknet_1_0__leaf_net85,17.14µm
clknet_1_0__leaf_net342,17.11µm
net245,17.08µm
clknet_1_1__leaf_net775,17.08µm
net610,17.02µm
net211,16.94µm
net445,16.935µm
clknet_1_1__leaf_net72,16.88µm
clknet_0_net203,16.72µm
net400,16.7µm
clknet_0_net721,16.7µm
net281,16.61µm
net689,16.56µm
net749,16.49µm
net7,16.44µm
net250,16.36µm
net536,16.36µm
net258,16.31µm
net74,16.22µm
clknet_1_0__leaf_net69,16.14µm
clknet_1_1__leaf_net723,16.105µm
net89,16.1µm
clknet_1_1__leaf_net206,16.1µm
net614,16.05µm
clknet_0_net876,15.98µm
net426,15.9µm
net739,15.88µm
net498,15.86µm
net237,15.85µm
clknet_1_1__leaf_net791,15.8µm
net643,15.685µm
net184,15.64µm
net183,15.56µm
net510,15.54µm
net10,15.485µm
net383,15.4µm
net9,15.395µm
net751,15.38µm
net691,15.355µm
net221,15.34µm
net580,15.34µm
net456,15.32µm
net729,15.3µm
clknet_1_0__leaf_net341,15.28µm
net135,15.25µm
net156,15.24µm
net485,15.22µm
clknet_1_0__leaf_net739,15.22µm
net932,15.18µm
clknet_1_0__leaf_net70,15.02µm
net547,14.96µm
net628,14.94µm
net327,14.88µm
clknet_1_1__leaf_net776,14.81µm
net144,14.76µm
clknet_0_net68,14.76µm
clknet_1_0__leaf_net185,14.6µm
net387,14.58µm
clknet_1_1__leaf_net213,14.56µm
net119,14.54µm
net164,14.5µm
net398,14.495µm
net561,14.48µm
net946,14.465µm
net83,14.44µm
net465,14.42µm
net776,14.34µm
net81,14.32µm
net177,14.26µm
net548,14.245µm
net745,14.22µm
clknet_1_1__leaf_net721,14.22µm
net539,14.18µm
net842,14.1µm
net954,14.08µm
net528,14.06µm
net753,14.04µm
net955,13.96µm
net286,13.9µm
net282,13.86µm
net470,13.77µm
net801,13.74µm
net353,13.72µm
net713,13.685µm
clknet_0_net60,13.56µm
net685,13.5µm
net34,13.48µm
net474,13.38µm
net881,13.38µm
clknet_1_1__leaf_net86,13.28µm
net320,13.18µm
net715,13.18µm
clknet_1_0__leaf_net189,13.16µm
net351,13.14µm
net31,13.08µm
clknet_0_net327,13.08µm
net482,12.96µm
net722,12.96µm
clknet_0_net71,12.96µm
clknet_1_1__leaf_net211,12.95µm
clknet_1_1__leaf_net195,12.92µm
clknet_1_0__leaf_net740,12.76µm
net343,12.74µm
net292,12.7µm
net633,12.66µm
out5,12.63µm
net865,12.62µm
clknet_1_0__leaf_net86,12.52µm
net494,12.505µm
net724,12.49µm
net191,12.48µm
net467,12.4µm
net733,12.4µm
clknet_1_1__leaf_net865,12.38µm
net952,12.38µm
net35,12.325µm
net309,12.305µm
net755,12.24µm
net317,12.205µm
net61,12.16µm
net902,12.12µm
net678,12.11µm
net835,12.04µm
net766,12µm
net594,11.96µm
net672,11.92µm
net817,11.9µm
net530,11.84µm
net790,11.84µm
net872,11.84µm
net123,11.74µm
net459,11.74µm
net99,11.74µm
net297,11.68µm
net312,11.66µm
net429,11.62µm
net47,11.58µm
net690,11.5µm
net871,11.48µm
net182,11.46µm
net653,11.42µm
clknet_0_net346,11.4µm
net609,11.36µm
net656,11.36µm
clknet_0_net793,11.36µm
net272,11.34µm
net684,11.24µm
net694,11.24µm
net892,11.2µm
net477,11.12µm
net675,11.12µm
net94,11.12µm
net959,11.12µm
clknet_1_0__leaf_net758,11.1µm
net933,11.09µm
net772,11.02µm
net866,11µm
net267,10.96µm
clknet_1_1__leaf_net182,10.96µm
net195,10.9µm
net367,10.9µm
net479,10.9µm
net765,10.88µm
net404,10.86µm
net428,10.86µm
net172,10.82µm
net13,10.8µm
net661,10.78µm
net693,10.74µm
net824,10.7µm
clknet_1_1__leaf_net332,10.67µm
net568,10.66µm
clknet_1_0__leaf_net208,10.62µm
net811,10.6µm
clknet_1_0__leaf_net792,10.55µm
net794,10.485µm
net596,10.46µm
net947,10.45µm
net758,10.44µm
net319,10.42µm
net532,10.42µm
net558,10.4µm
net838,10.4µm
in33,10.32µm
in44,10.32µm
net249,10.32µm
net647,10.32µm
net819,10.24µm
net740,10.1µm
net770,10.1µm
net891,10.1µm
net798,10.04µm
clknet_1_1__leaf_net792,10.04µm
net757,10.02µm
net793,10.02µm
in47,9.98µm
net220,9.98µm
net84,9.94µm
net60,9.92µm
net48,9.9µm
net761,9.9µm
net96,9.86µm
net140,9.82µm
net642,9.78µm
net769,9.78µm
net781,9.78µm
net22,9.745µm
net768,9.68µm
out51,9.64µm
net476,9.585µm
net931,9.56µm
in48,9.52µm
net935,9.52µm
net375,9.5µm
net441,9.5µm
clknet_1_1__leaf_net793,9.48µm
net759,9.42µm
in24,9.4µm
in35,9.4µm
in39,9.4µm
in46,9.4µm
in50,9.4µm
in51,9.4µm
in9,9.4µm
net944,9.4µm
net475,9.385µm
net337,9.36µm
net365,9.32µm
clknet_1_0__leaf_net187,9.315µm
net227,9.26µm
net885,9.14µm
net727,9.1µm
net796,9.08µm
net588,9.075µm
net308,9.06µm
net732,9.02µm
clknet_1_1__leaf_net183,9.02µm
net760,9µm
net712,8.985µm
net260,8.98µm
net311,8.92µm
net810,8.9µm
net726,8.86µm
net957,8.82µm
net316,8.8µm
net413,8.8µm
net816,8.72µm
net71,8.68µm
net449,8.675µm
net587,8.665µm
clknet_0_net211,8.6µm
net42,8.58µm
net579,8.58µm
net786,8.56µm
net370,8.52µm
clknet_1_0__leaf_net191,8.52µm
net393,8.48µm
net430,8.44µm
net453,8.44µm
net696,8.42µm
net860,8.4µm
net966,8.4µm
in27,8.37µm
net418,8.36µm
net833,8.32µm
net741,8.24µm
net800,8.12µm
net679,8.1µm
clknet_1_0__leaf_net192,8.1µm
net746,8.06µm
in32,8.03µm
net395,7.98µm
net721,7.94µm
net488,7.88µm
net823,7.83µm
net655,7.78µm
net908,7.765µm
net964,7.76µm
net198,7.72µm
in19,7.69µm
net6,7.68µm
net851,7.645µm
net248,7.52µm
net764,7.52µm
net523,7.51µm
net88,7.51µm
net359,7.5µm
in21,7.35µm
in34,7.35µm
in41,7.35µm
in49,7.35µm
in6,7.35µm
net436,7.345µm
out44,7.33µm
net301,7.32µm
net791,7.3µm
net792,7.26µm
net730,7.22µm
net828,7.22µm
net829,7.22µm
net639,7.21µm
net584,7.205µm
net683,7.2µm
net358,7.18µm
net754,7.18µm
net854,7.18µm
net945,7.18µm
net58,7.12µm
net122,7.1µm
net294,7.1µm
net100,7.06µm
net522,7.06µm
net795,7.06µm
net382,7.04µm
in12,7.01µm
in14,7.01µm
in2,7.01µm
in30,7.01µm
in43,7.01µm
in7,7.01µm
net497,6.98µm
net355,6.955µm
in45,6.91µm
clknet_1_0__leaf_net60,6.9µm
net563,6.845µm
net162,6.84µm
net41,6.83µm
net166,6.82µm
net961,6.82µm
net808,6.815µm
net673,6.72µm
in28,6.67µm
in29,6.67µm
net521,6.66µm
out46,6.65µm
net608,6.6µm
net168,6.52µm
net480,6.5µm
net223,6.48µm
clknet_1_1__leaf_net199,6.46µm
net815,6.445µm
net161,6.44µm
in18,6.43µm
net856,6.38µm
net963,6.36µm
in1,6.33µm
in20,6.33µm
in22,6.33µm
in31,6.33µm
in8,6.33µm
in37,6.31µm
net807,6.28µm
net128,6.26µm
net707,6.18µm
net318,6.16µm
net471,6.16µm
net705,6.115µm
out23,6.09µm
net814,6.08µm
net440,6.06µm
in0,5.99µm
in11,5.99µm
in40,5.99µm
in42,5.99µm
in5,5.99µm
net934,5.99µm
net469,5.94µm
in17,5.92µm
net804,5.895µm
net688,5.885µm
net671,5.86µm
net132,5.84µm
net389,5.84µm
net519,5.84µm
net545,5.84µm
clknet_1_0__leaf_net211,5.84µm
net491,5.8µm
net950,5.8µm
net290,5.785µm
net380,5.78µm
out3,5.75µm
net762,5.74µm
net709,5.72µm
net821,5.72µm
net289,5.68µm
clknet_1_0__leaf_net722,5.68µm
in15,5.65µm
in16,5.65µm
in25,5.65µm
in26,5.65µm
in36,5.65µm
net701,5.615µm
net216,5.545µm
net452,5.515µm
net805,5.48µm
net869,5.46µm
net291,5.435µm
net110,5.4µm
net457,5.38µm
net695,5.38µm
net841,5.38µm
clknet_1_1__leaf_net85,5.36µm
net218,5.345µm
net143,5.34µm
net789,5.34µm
in10,5.31µm
in13,5.31µm
in23,5.31µm
in3,5.31µm
in38,5.31µm
in4,5.31µm
out30,5.31µm
out50,5.31µm
out33,5.29µm
net676,5.28µm
net706,5.28µm
net285,5.26µm
net368,5.26µm
net500,5.26µm
net578,5.26µm
net714,5.24µm
net24,5.22µm
net57,5.16µm
net756,5.14µm
net152,5.1µm
out35,5.07µm
out41,5.07µm
out7,5.07µm
net147,5.06µm
net572,5.06µm
net836,5.04µm
net716,5.02µm
net779,4.99µm
net222,4.94µm
net562,4.92µm
net598,4.92µm
net809,4.92µm
net378,4.88µm
net698,4.88µm
net953,4.88µm
net657,4.8µm
net79,4.8µm
net155,4.76µm
net59,4.76µm
clknet_1_0__leaf_net198,4.76µm
out21,4.73µm
net0,4.7µm
net219,4.7µm
net371,4.68µm
net518,4.66µm
net634,4.635µm
out47,4.61µm
clknet_1_1__leaf_net342,4.6µm
net686,4.595µm
net354,4.56µm
net839,4.54µm
net857,4.54µm
net189,4.48µm
net837,4.48µm
net458,4.46µm
net967,4.46µm
net968,4.44µm
net37,4.425µm
