net,length_um
clknet_0_net921,26.02µm
clknet_1_1__leaf_net747,25.94µm
net954,25.86µm
clknet_1_1__leaf_net363,25.83µm
net884,25.82µm
net777,25.8µm
clknet_0_net425,25.72µm
clknet_0_net795,25.56µm
net308,25.475µm
net371,25.44µm
net356,25.42µm
net475,25.4µm
net359,25.3µm
clknet_0_net153,25.3µm
clknet_1_1__leaf_net904,25.22µm
net597,25.18µm
clknet_0_net363,25.1µm
clknet_0_net302,24.98µm
clknet_0_net584,24.98µm
net652,24.96µm
clknet_1_0__leaf_net442,24.96µm
clknet_0_net152,24.72µm
net335,24.7µm
net76,24.68µm
net813,24.68µm
clknet_0_net599,24.64µm
clknet_0_net747,24.48µm
net563,24.42µm
net7,24.42µm
net300,24.36µm
clknet_1_1__leaf_net156,24.28µm
clknet_0_net394,24.18µm
clknet_1_1__leaf_net472,24.17µm
clknet_0_net382,24.14µm
clknet_1_0__leaf_net920,24.08µm
net325,23.99µm
net324,23.88µm
clknet_0_net179,23.8µm
net527,23.62µm
clknet_1_1__leaf_net814,23.61µm
clknet_0_net161,23.54µm
clknet_0_net379,23.54µm
net32,23.46µm
clknet_0_net564,23.26µm
net598,23.18µm
net185,23.16µm
net94,23.14µm
clknet_0_net290,23.14µm
clknet_1_0__leaf_net599,23.085µm
net604,23.04µm
net500,23.005µm
net321,22.885µm
net937,22.82µm
net512,22.8µm
clknet_0_net575,22.6µm
clknet_0_net292,22.58µm
net404,22.54µm
clknet_0_net598,22.44µm
net169,22.4µm
clknet_0_net414,22.34µm
net749,22.24µm
net609,22.16µm
net655,22.16µm
clknet_1_1__leaf_net516,22.14µm
net462,22.12µm
net595,22.12µm
net533,22.06µm
net51,22.005µm
net320,22µm
net394,21.86µm
net502,21.8µm
net856,21.74µm
clknet_1_1__leaf_net291,21.72µm
net272,21.66µm
clknet_0_net905,21.66µm
clknet_1_0__leaf_net140,21.66µm
net136,21.6µm
net695,21.54µm
clknet_0_net477,21.46µm
net208,21.44µm
net581,21.4µm
clknet_0_net373,21.38µm
net458,21.32µm
net62,21.28µm
clknet_1_1__leaf_net901,21.2µm
clknet_0_net910,21.2µm
net482,21.16µm
net507,21.02µm
net910,20.94µm
clknet_1_0__leaf_net290,20.94µm
clknet_0_net254,20.84µm
net619,20.825µm
net87,20.78µm
net260,20.74µm
net52,20.74µm
net752,20.72µm
net330,20.69µm
net230,20.46µm
clknet_0_net142,20.46µm
net901,20.44µm
net179,20.42µm
net99,20.36µm
clknet_0_net527,20.32µm
clknet_0_net570,20.3µm
clknet_0_net140,20.28µm
clknet_0_net423,20.26µm
clknet_0_net289,20.2µm
clknet_0_net136,20.12µm
net20,20.1µm
net207,20.08µm
net626,20.06µm
clknet_0_net135,19.96µm
net691,19.95µm
net203,19.9µm
net1030,19.86µm
net306,19.78µm
net29,19.74µm
net434,19.62µm
net1015,19.6µm
net124,19.54µm
net14,19.415µm
net750,19.365µm
net70,19.36µm
clknet_0_net406,19.36µm
net1022,19.36µm
net658,19.18µm
clknet_0_net148,19.16µm
clknet_1_1__leaf_net638,19.14µm
clknet_1_0__leaf_net910,19.14µm
clknet_1_0__leaf_net142,19.12µm
clknet_0_net276,19.1µm
net479,19.075µm
net566,19.06µm
net587,19.06µm
net3,19.02µm
clknet_0_net460,19µm
net448,18.97µm
clknet_0_net552,18.96µm
clknet_1_1__leaf_net143,18.94µm
clknet_0_net563,18.9µm
clknet_1_1__leaf_net389,18.86µm
net56,18.765µm
net639,18.76µm
net795,18.58µm
clknet_1_1__leaf_net306,18.52µm
clknet_0_net389,18.5µm
net557,18.425µm
net427,18.4µm
net789,18.32µm
net442,18.28µm
net688,18.26µm
clknet_0_net440,18.1µm
net576,18.02µm
clknet_0_net395,17.98µm
net78,17.96µm
net627,17.9µm
clknet_0_net920,17.8µm
clknet_0_net904,17.78µm
clknet_0_net156,17.78µm
clknet_1_0__leaf_net516,17.74µm
net528,17.7µm
net628,17.6µm
net423,17.52µm
net806,17.52µm
net117,17.42µm
net140,17.38µm
net137,17.18µm
net299,17.04µm
clknet_0_net901,17.02µm
net287,16.88µm
clknet_0_net445,16.88µm
clknet_0_net937,16.86µm
net511,16.82µm
net538,16.8µm
net1032,16.64µm
clknet_0_net472,16.6µm
net172,16.54µm
net360,16.525µm
net516,16.34µm
net673,16.34µm
net177,16.26µm
clknet_1_0__leaf_net447,16.26µm
clknet_1_0__leaf_net135,16.1µm
net425,16.08µm
net452,16µm
net718,15.9µm
net145,15.88µm
clknet_1_1__leaf_net447,15.84µm
clknet_1_1__leaf_net286,15.82µm
net256,15.8µm
net460,15.76µm
net565,15.76µm
clknet_1_1__leaf_net136,15.68µm
net963,15.64µm
net428,15.46µm
net286,15.42µm
net555,15.38µm
net667,15.34µm
net284,15.3µm
net313,15.3µm
net994,15.26µm
net131,15.24µm
net690,15.22µm
net674,15.19µm
net766,15.11µm
net310,15.04µm
clknet_0_net478,15.04µm
net457,14.98µm
net148,14.96µm
clknet_1_1__leaf_net598,14.92µm
net135,14.9µm
net435,14.76µm
clknet_1_1__leaf_net813,14.76µm
net637,14.72µm
net476,14.62µm
net622,14.54µm
net245,14.52µm
in32,14.46µm
net275,14.46µm
in35,14.44µm
net421,14.44µm
clknet_1_1__leaf_net795,14.44µm
net588,14.38µm
clknet_1_1__leaf_net439,14.36µm
clknet_1_0__leaf_net136,14.34µm
in26,14.32µm
clknet_1_1__leaf_net643,14.32µm
clknet_1_1__leaf_net152,14.32µm
net298,14.3µm
net397,14.3µm
clknet_0_net291,14.3µm
net692,14.27µm
clknet_1_1__leaf_net423,14.26µm
net526,14.2µm
clknet_1_0__leaf_net302,14.2µm
net206,14.18µm
net61,14.11µm
clknet_1_0__leaf_net575,14.1µm
net456,14.04µm
in19,13.98µm
in51,13.98µm
in28,13.96µm
net477,13.96µm
net669,13.96µm
clknet_1_1__leaf_net382,13.96µm
clknet_1_0__leaf_net638,13.92µm
net522,13.9µm
clknet_1_1__leaf_net425,13.85µm
net353,13.84µm
clknet_1_1__leaf_net276,13.7µm
clknet_1_1__leaf_net924,13.68µm
in24,13.66µm
out5,13.66µm
clknet_0_net812,13.66µm
net139,13.54µm
in53,13.52µm
in58,13.52µm
clknet_1_0__leaf_net156,13.51µm
net567,13.22µm
net214,13.2µm
net280,13.14µm
clknet_0_net160,13.14µm
net424,13.08µm
in60,13.06µm
net0,13.04µm
net250,13.04µm
net638,13.04µm
clknet_1_1__leaf_net371,13µm
out10,12.97µm
net225,12.96µm
clknet_1_1__leaf_net153,12.88µm
out54,12.63µm
net478,12.58µm
net1019,12.48µm
net22,12.42µm
in33,12.4µm
out3,12.4µm
net290,12.3µm
net417,12.28µm
clknet_1_0__leaf_net394,12.26µm
net408,12.18µm
in31,12.14µm
net532,12.085µm
net291,12.08µm
net592,12.06µm
clknet_1_1__leaf_net452,12µm
net552,11.96µm
clknet_1_0__leaf_net169,11.96µm
